"date","deaths_total","death_covid","death_covid_contrib","death_unknown_missing"
2020-04-01,17,12,2,3
2020-04-02,30,24,2,4
2020-04-03,21,14,2,5
2020-04-04,30,23,2,5
2020-04-05,28,19,3,6
2020-04-06,30,22,5,3
2020-04-07,35,27,6,2
2020-04-08,38,29,5,4
2020-04-09,42,29,6,7
2020-04-10,36,30,3,3
2020-04-11,44,32,8,4
2020-04-12,46,33,7,6
2020-04-13,50,32,6,12
2020-04-14,46,33,8,5
2020-04-15,61,42,7,12
2020-04-16,55,37,8,10
2020-04-17,54,34,10,10
2020-04-18,57,33,14,10
2020-04-19,87,68,8,11
2020-04-20,57,37,9,11
2020-04-21,65,48,11,6
2020-04-22,69,49,12,8
2020-04-23,59,42,7,10
2020-04-24,62,46,10,6
2020-04-25,68,38,17,13
2020-04-26,65,49,7,9
2020-04-27,68,47,16,5
2020-04-28,48,28,13,7
2020-04-29,68,46,14,8
2020-04-30,63,44,11,8
2020-05-01,65,49,13,3
2020-05-02,52,36,12,4
2020-05-03,71,46,15,10
2020-05-04,47,35,4,8
2020-05-05,41,28,11,2
2020-05-06,43,29,8,6
2020-05-07,44,28,11,5
2020-05-08,40,29,6,5
2020-05-09,40,24,9,7
2020-05-10,41,25,12,4
2020-05-11,38,28,6,4
2020-05-12,35,21,11,3
2020-05-13,29,23,4,2
2020-05-14,26,19,4,3
2020-05-15,32,23,7,2
2020-05-16,31,22,6,3
2020-05-17,26,19,7,0
2020-05-18,26,20,2,4
2020-05-19,26,17,6,3
2020-05-20,19,14,4,1
2020-05-21,26,17,7,2
2020-05-22,20,18,1,1
2020-05-23,25,16,5,4
2020-05-24,25,18,4,3
2020-05-25,30,21,4,5
2020-05-26,39,30,6,3
2020-05-27,27,20,2,5
2020-05-28,19,14,1,4
2020-05-29,25,20,4,1
2020-05-30,19,15,3,1
2020-05-31,10,9,1,0
2020-06-01,12,9,2,1
2020-06-02,10,8,2,0
2020-06-03,16,9,3,4
2020-06-04,18,9,8,1
2020-06-05,17,9,5,3
2020-06-06,9,8,1,0
2020-06-07,9,9,0,0
2020-06-08,7,4,1,2
2020-06-09,15,11,2,2
2020-06-10,5,5,0,0
2020-06-11,6,4,1,1
2020-06-12,6,2,2,2
2020-06-13,11,10,0,1
2020-06-14,10,6,4,0
2020-06-15,7,5,1,1
2020-06-16,4,4,0,0
2020-06-17,3,2,1,0
2020-06-18,5,4,1,0
2020-06-19,4,2,2,0
2020-06-20,5,4,0,1
2020-06-21,4,3,1,0
2020-06-22,7,4,3,0
2020-06-23,8,7,0,1
2020-06-24,6,5,1,0
2020-06-25,3,3,0,0
2020-06-26,4,3,1,0
2020-06-27,3,3,0,0
2020-06-28,4,3,1,0
2020-06-29,5,4,0,1
2020-06-30,1,1,0,0
2020-07-01,2,2,0,0
2020-07-02,2,1,1,0
2020-07-03,3,1,1,1
2020-07-04,1,0,1,0
2020-07-05,1,1,0,0
2020-07-06,7,5,2,0
2020-07-07,5,4,1,0
2020-07-08,3,2,1,0
2020-07-09,2,2,0,0
2020-07-10,5,4,0,1
2020-07-11,3,3,0,0
2020-07-12,1,0,1,0
2020-07-13,4,3,1,0
2020-07-14,2,1,1,0
